State_Code,STATE_NAME,BEGIN_EFFECTIVE_DATE,END_EFFECTIVE_DATE,CREATE_USER_ID,CREATE_TS,LAST_MOD_USER_ID,LAST_MOD_TS,LOCK_CONTROL_NO
AK,Alaska,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
AL,Alabama,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
AR,Arkansas,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
AZ,Arizona,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
CA,California,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
CO,Colorado,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
CT,Connecticut,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
DC,Dist. of Columbia,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
DE,Delaware,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
FL,Florida,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
GA,Georgia,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
GU,Guam,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
HI,Hawaii,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
IA,Iowa,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
ID,Idaho,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
IL,Illinois,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
IN,Indiana,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
KS,Kansas,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
KY,Kentucky,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
LA,Louisiana,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
MA,Massachusetts,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
MD,Maryland,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
ME,Maine,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
MI,Michigan,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
MN,Minnesota,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
MO,Missouri,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
MS,Mississippi,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
MT,Montana,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
NA,Other/Province,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
NC,North Carolina,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
ND,North Dakota,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
NE,Nebraska,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
NH,New Hampshire,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
NJ,New Jersey,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
NM,New Mexico,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
NV,Nevada,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
NY,New York,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
OH,Ohio,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
OK,Oklahoma,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
OR,Oregon,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
PA,Pennsylvania,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
PR,Puerto Rico,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
RI,Rhode Island,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
SC,South Carolina,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
SD,South Dakota,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
TN,Tennessee,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
TX,Texas,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
UT,Utah,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
VA,Virginia,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
VI,Virgin Islands,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
VT,Vermont,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
WA,Washington,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
WI,Wisconsin,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
WV,West Virginia,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
WY,Wyoming,10-Jul-18,4/24/2292,USER,10-Jul-18,USER,10-Jul-18,0
