1,2,2,,,3,3_link
ALABAMA,"ALABAMA
 Huntsville, AL
 Pastor: Alfred Okosun
 Address: 200 Parkway Drive NW, Huntsville, AL 35801
 Mailing Address: 110 Piper Lane, Meridianville, AL 35759
 Phone: 256-679-4121
 Email: deeperlifeal@yahoo.com",ALABAMA,,,deeperlifeal@yahoo.com,"mailto:deeperlifeal@yahoo.com
"
ARKANSAS,"ARKANSAS
 Little Rock
 Pastor: Dennis Igweh
 Address: (Quality Inn)
 6100 Mitchell Drive, Little Rock AR 72209
 Phone: 504-577-8869
 Email: wonun.igweh@wigweh.com or wonun.igweh@gmail.com",ARKANSAS,,,wonun.igweh@wigweh.com; wonun.igweh@gmail.com,"mailto:wonun.igweh@wigweh.com
; mailto:wonun.igweh@gmail.com
"
DELAWARE,"DELAWARE
 Pastor: Paul Ojewoye
 Address: 28-29 Peddlers Row Newark DE 19702
 Phone: Cell: 302-465-5011; Home: 302-376-8816
 Email: deeperlifede@yahoo.com",DELAWARE,,,deeperlifede@yahoo.com,"mailto:deeperlifede@yahoo.com
"
FLORIDA,"FLORIDA
 Deltona, FL
 Pastor: Obafemi Ogunrinde
 Address: 704 Goldcoast Drive, Deltona, FL 32725
 Phone: 386-860-4094
 Email: deeperlifefl@bellsouth.net",FLORIDA,,,deeperlifefl@bellsouth.net,"mailto:deeperlifefl@bellsouth.net
"
"Gainesville, FL","Gainesville, FL
 Pastor: Emmanuel Akande
 Address: 1731 NW 6th Street, Suite B, Gainesville, FL 32725
 Phone: 850-345-2844
 Email: eakande75@gmail.com",Gainesville, FL,,eakande75@gmail.com,"mailto:eakande75@gmail.com
"
"Jacksonville, FL","Jacksonville, FL
 Pastor: Joseph Adedokun
 Address: 8849 Ivey, Road, Jacksonville, FL 32216
 Phone: 904-723-3522
 Email: deeperlifebiblechurchjax@yahoo.com",Jacksonville, FL,,deeperlifebiblechurchjax@yahoo.com,"mailto:deeperlifebiblechurchjax@yahoo.com
"
"Kissimmee, FL","Kissimmee, FL
 Pastor: Moses Orhue
 Address: 306 Erie Lane Kissimmee, FL 34759
 Phone: 917-687-5735
 Email: orhuemoses@yahoo.com",Kissimmee, FL,,orhuemoses@yahoo.com,"mailto:orhuemoses@yahoo.com
"
"Miramar, FL","Miramar, FL
 Pastor: Michael Bayere
 Address: 17325 NW 27th Avenue, Suite 204, Miami Gardens, FL 32609
 Mailing Address: 7340 Tropicana Street, Miramar, FL 33023
 Phone: 305-318-2437
 Email: bayemich@yahoo.com",Miramar, FL,,bayemich@yahoo.com,"mailto:bayemich@yahoo.com
"
"Tampa, FL","Tampa, FL
 Pastor: Raymond Akoko
 Address: 10024 North 30th Street, Tampa, FL 33612
 Phone: 443-500-6399
 Email: deeperlifetampa@gmail.com",Tampa, FL,,deeperlifetampa@gmail.com,"mailto:deeperlifetampa@gmail.com
"
GEORGIA,"GEORGIA
 Mableton, GA
 Pastor: Albert Osian
 Address: 646 Veterans Memorial Hwy SE, Mableton, GA 30126
 Phone: 678-978-3529
 Email: albos7707@aol.com",GEORGIA,,,albos7707@aol.com,"mailto:albos7707@aol.com
"
"College Park, GA","College Park, GA
 Pastor: Marcel Tshikaya
 Address: 5658 Riverdale Road, College Park, GA 30349
 Phone: 478-461-9911
 Email: mbuyitshikaya@yahoo.com",College Park, GA,,mbuyitshikaya@yahoo.com,"mailto:mbuyitshikaya@yahoo.com
"
"Decatur, GA","Decatur, GA
 Pastor: Oluwagbenga Omoteso
 Address: 5028 Covington Hwy, Decatur, GA 30035
 Mailing Address: 3339 Quick Water Landing Kennesaw, GA 30144
 Phone: 404-219-9598
 Email: deeperlifeatlga@gmail.com",Decatur, GA,,deeperlifeatlga@gmail.com,"mailto:deeperlifeatlga@gmail.com
"
"Lawrenceville, GA","Lawrenceville, GA
 Pastor: Yemi Orimogunje
 Address: 990 Lakes Parkway Lawrenceville, GA 30043
 Mailing Address: 3883 Ridge Grove Way, Suwanne, GA 30024
 Phone: 678-523-2712
 Email: bbyemi@yahoo.com",Lawrenceville, GA,,bbyemi@yahoo.com,"mailto:bbyemi@yahoo.com
"
"Macon, GA","Macon, GA
 Pastor: Olu Babatola
 Address: 1053 Pio Nono Avenue, Macon, GA 31204
 Phone: 478-951-2310
 Email: olu@bellsouth.net",Macon, GA,,olu@bellsouth.net,"mailto:olu@bellsouth.net
"
LOUISIANA,"LOUISIANA
 Baton Rouge
 Pastor: Ojo Thompson
 Address: 3350 Dalrymple Drive, Baton Rouge, LA 70802
 Phone: 225-907-2897
 Email: dclmlouisiana@gmail.com",LOUISIANA,,,dclmlouisiana@gmail.com,"mailto:dclmlouisiana@gmail.com
"
MARYLAND,"MARYLAND
 Aberdeen, MD
 Pastor: Felix Oriakhi
 Address: 121 South Philadelphia Blvd, Aberdeen, MD 21001
 Phone: 443-655-0710
 Email: felix_efosa@yahoo.com",MARYLAND,,,felix_efosa@yahoo.com,"mailto:felix_efosa@yahoo.com
"
"Baltimore, MD","Baltimore, MD
 Pastor: Goddy Ati
 Address: 6008 Old Hartford Rd, Baltimore, MD 21214
 Phone: Cell: 443-983-0111; Church: 410-342-2880
 Email: atigo1@yahoo.com",Baltimore, MD,,atigo1@yahoo.com,"mailto:atigo1@yahoo.com
"
"Columbia, MD","Columbia, MD
 Pastor: Asamoah Eustace
 Address: 6030 Tamar Dr. Columbia MD 20145
 Phone: 410-499-6466; 410-953-9770
 Email: eustace.as@gmail.com",Columbia, MD,,eustace.as@gmail.com,"mailto:eustace.as@gmail.com
"
"Frederick, MD","Frederick, MD
 Pastor: Matthew Eichie
 Address: 420 Prospect Blvd., Frederick MD
 Phone: 240-305-1965
 Email: meichie2003@yahoo.com",Frederick, MD,,meichie2003@yahoo.com,"mailto:meichie2003@yahoo.com
"
"Gaithersburg, MD","Gaithersburg, MD
 Pastor: Daniel Omolola
 Address: 8051 Cessna Ave.,Gaithersburg, MD 20879
 Phone: 240-432-3926
 Email: danielomolola@msn.com",Gaithersburg, MD,,danielomolola@msn.com,"mailto:danielomolola@msn.com
"
"Germantown, MD","Germantown, MD
 Pastor: Broadrick Feludu
 Address: (Germantown Community Center)
 18905 Kingsview Road, Germantown, MD 20874
 Phone: 240-566-8179
 Email: drickn@yahoo.com",Germantown, MD,,drickn@yahoo.com,"mailto:drickn@yahoo.com
"
"Lanham, MD","Lanham, MD
 Pastor: Reggie Opara
 Address: 9470 Anapolis Road, Suite #314, Lanham, MD 20706
 Phone: 240-413-2575; 301-938-4139
 Email: reggie.opara@yahoo.com",Lanham, MD,,reggie.opara@yahoo.com,"mailto:reggie.opara@yahoo.com
"
"Laurel, MD","Laurel, MD
 Pastor: Olayinka Folayan
 Address: 14301 Laurel-Bowie Road, Laurel, MD 20708
 Phone: 240-899-2251
 Email: olayinkafolayan@gmail.com",Laurel, MD,,olayinkafolayan@gmail.com,"mailto:olayinkafolayan@gmail.com
"
"Windsor Mill, MD","Windsor Mill, MD
 Pastor: Deji Songonuga
 Address: 7113 Ambassador Rd., Windsor Mill, MD 21244
 Phone: 240-490-0580
 Email: dejisongo@yahoo.com",Windsor Mill, MD,,dejisongo@yahoo.com,"mailto:dejisongo@yahoo.com
"
"Silver Spring, MD","Silver Spring, MD
 Pastor: Steven Olabanji
 Address: 8209 Fenton Street, Silver Spring, MD 20910
 Phone: 301-204-7202
 Email: steveolumy@yahoo.com",Silver Spring, MD,,steveolumy@yahoo.com,"mailto:steveolumy@yahoo.com
"
"Suitland, MD","Suitland, MD
 Pastor: Augustine Umoren
 Address: 5151 Allentown Road, Suitland, MD 20746
 Phone: 202-669-1798
 Email: pumoren@comcast.net",Suitland, MD,,pumoren@comcast.net,"mailto:pumoren@comcast.net
"
MISSISSIPPI,"MISSISSIPPI
 Jackson, MS
 Pastor: Paul Washington
 Address: 529 Cleary Road, Richland, MS 39218
 Phone: 410-202-1094; 601-622-6897
 Email: pauljrwash@yahoo.com",MISSISSIPPI,,,pauljrwash@yahoo.com,"mailto:pauljrwash@yahoo.com
"
NEW YORK,"NEW YORK
 Far Rock-away, NY
 Pastor: Afolabi Poroye
 Address: 6226 Burchell Road, Arverne, NY 11692
 Phone: 347-469-9341
 Email: afolaborn14@gmail.com",NEW YORK,,,afolaborn14@gmail.com,"mailto:afolaborn14@gmail.com
"
"Long Island, NY","Long Island, NY
 Pastor: Chidi Ochi
 Address: 533 Kirkman Avenue Elmont, NY
 Phone: 347-200-3301
 Email: chidiene@verizon.net",Long Island, NY,,chidiene@verizon.net,"mailto:chidiene@verizon.net
"
"Queens, NY","Queens, NY
 Pastor: Sola Akinsulire
 Address: 188-21 Suffolk Drive St. Albans New York 11412
 Phone: 917-400-8780
 Email: solnet94@aol.com",Queens, NY,,solnet94@aol.com,"mailto:solnet94@aol.com
"
"Rochester, NY","Rochester, NY
 Pastor: Bolaji Thomas
 Address: 3699 West Henrietta Road Rochester NY 14623
 Mailing Address: 91 Woodgreen Drive, Pittsford NY 14534
 Phone: 585-260-1943
 Email: dlbcrochester@gmail.com",Rochester, NY,,dlbcrochester@gmail.com,"mailto:dlbcrochester@gmail.com
"
NORTH CAROLINA,"NORTH CAROLINA
 Charlotte, NC
 Pastor: Dennis Arkoh
 Address: 4637 Brookshire Blvd, Charlotte, NC 28216
 Mailing: 7101 Crossridge Rd Charlotte NC 28214
 Phone: 704-737-0647; 704-890-8041
 Email: madenn2@hotmail.com",NORTH CAROLINA,,,madenn2@hotmail.com,"mailto:madenn2@hotmail.com
"
"Concord, NC","Concord, NC
 Pastor: Chuba Nwangwu
 Address: 418 Kerr Street, Concord, NC 28025
 Phone: 704-577-6600
 Email: chuba165@hotmail.com",Concord, NC,,chuba165@hotmail.com,"mailto:chuba165@hotmail.com
"
"Durham, NC","Durham, NC
 Pastor: Adedayo Fatolu
 1639 University Drive Durham, NC 27701
 Phone: 919-385-6361; 919-601-2033
 Email: deeperlifedurham@yahoo.com",Durham, NC,,deeperlifedurham@yahoo.com,"mailto:deeperlifedurham@yahoo.com
"
"Fayetteville, NC","Fayetteville, NC
 Pastor: Anthony Adegoke
 Address: 4105 Sycamore dairy Rd., Fayetteville, NC 28303
 Phone: 919-601-2033
 Email: aoadegoke@hotmail.com",Fayetteville, NC,,aoadegoke@hotmail.com,"mailto:aoadegoke@hotmail.com
"
"Fuquay-Varina, NC","Fuquay-Varina, NC
 Pastor: Samuel Gbeji
 Address: 511 North Judd Pkwy NE, Fuquay Varina, NC 27526
 Phone: 919-594-2096; 919-762-0837
 Email: deeperlifefuquayvarina@gmail.com",Fuquay-Varina, NC,,deeperlifefuquayvarina@gmail.com,"mailto:deeperlifefuquayvarina@gmail.com
"
"Greensboro, NC","Greensboro, NC 
 Pastor Samuel Olaoye
 Address: 3821-P W Gate City Blvd Greensboro, NC 27407
 Phone: 919-412-3237; 919-601-2033
 Email: dlbcgreensboro@gmail.com",Greensboro, NC ,,dlbcgreensboro@gmail.com,"mailto:dlbcgreensboro@gmail.com
"
"Kinston, NC","Kinston, NC
 Pastor: Ajayi Abayomi
 Address: 2000 Martin Luther King Jr. Blvd., Kinston NC 28501
 Phone: 919-946-6537
 Email: dlbckinston@gmail.com",Kinston, NC,,dlbckinston@gmail.com,"mailto:dlbckinston@gmail.com
"
"North Raileigh, NC","North Raileigh, NC
 Pastor: Taiwo Fabiyi
 Address: 6511 Corporate Ridge Road, Raleigh, NC 27606
 Phone: 919-539-9956; 919-601-2033
 Email: taikenny@yahoo.com",North Raileigh, NC,,taikenny@yahoo.com,"mailto:taikenny@yahoo.com
"
"South Raleigh, NC","South Raleigh, NC
 Pastor: Anthony Adegoke
 Address: 3541 Maitland Drive, Raleigh, NC 27610
 Phone: 919-601-2033
 Email: aoadegoke@hotmail.com",South Raleigh, NC,,aoadegoke@hotmail.com,"mailto:aoadegoke@hotmail.com
"
"Sharon Amity, NC","Sharon Amity, NC
 Pastor: Longinus Agor
 Address: 4215 Sharon Amity Road, Charlotte, NC 28205
 Phone: 704-877-89-46
 Email: longinusagor@hotmail.com",Sharon Amity, NC,,longinusagor@hotmail.com,"mailto:longinusagor@hotmail.com
"
PENNSYLVANIA,"PENNSYLVANIA
 Chester, PA
 Pastor: Yemi Olukanni
 Address: (Crozer Mill Enterprise Center)
 601 Upland Avenue, Suite 224, Upland, PA 19015
 Phone: 215-779-7866
 Email: deeperlifechesterpa@yahoo.com",PENNSYLVANIA,,,deeperlifechesterpa@yahoo.com,"mailto:deeperlifechesterpa@yahoo.com
"
"Harrisburg, PA","Harrisburg, PA
 Pastor: Wale Bello
 Address: 701 N. Front Street, Steelton, PA 17113
 Phone: 610-301-5578; 717-526-2037
 Email: walebello2@yahoo.com",Harrisburg, PA,,walebello2@yahoo.com,"mailto:walebello2@yahoo.com
"
"Philadelphia, PA","Philadelphia, PA
 Pastor: Wale Davis
 Address: 6312 Callow Hill Street, Philadelphia PA 19151
 Mailing Address: 7107 Brous Ave. Philadelphia PA 19149
 Phone: Church: 215-471-5903; Cell: 215-908-6697
 Email: deeperlifepa@yahoo.com",Philadelphia, PA,,deeperlifepa@yahoo.com,"mailto:deeperlifepa@yahoo.com
"
"Pittsburgh, PA","Pittsburgh, PA
 Pastor: Wale Davis
 Address: (Cathedral of Learning, Pittsburgh University)
 4200 Fifth Ave, Pittsburgh, PA 15260\
 Phone: 215-908-6697
 Email: deeperlifepa@yahoo.com",Pittsburgh, PA,,deeperlifepa@yahoo.com,"mailto:deeperlifepa@yahoo.com
"
SOUTH CAROLINA,"SOUTH CAROLINA
 Columbia, SC
 Pastor: Akinsola Ojo
 Address: 6919 Monticello Road Columbia SC 29203
 Mailing Address: 467 Regency Park Drive, Columbia, SC, 29210
 Phone: 803-720-8012
 Email: deeperlifescc@yahoo.com",SOUTH CAROLINA,,,deeperlifescc@yahoo.com,"mailto:deeperlifescc@yahoo.com
"
"Greenville, SC","Greenville, SC
 Pastor: Akinsola Ojo
 Address: 111 Courtney Circle, Greenville SC 29617
 Mailing Address: 215 Duncan Chapel Road, Apt. #11 Greensville, SC 29617
 Phone: 864-534-1819
 Email: deeperlifescc@yahoo.com",Greenville, SC,,deeperlifescc@yahoo.com,"mailto:deeperlifescc@yahoo.com
"
"USC Aiken, SC","USC Aiken, SC
 Pastor: Akinsola Ojo
 Address: 5043 Southeastern Lane, Aiken, SC 29801
 Mailing Address: 467 Regency Park Drive, Columbia, South Carolina, 29210
 Phone: 803-720-8012
 Email: deeperlifescc@yahoo.com",USC Aiken, SC,,deeperlifescc@yahoo.com,"mailto:deeperlifescc@yahoo.com
"
TENNESSEE,"TENNESSEE
 Nashville, TN
 Pastor: Hassan Saheed
 Address: 3710 Franklin Pike, Nashville, TN 37204
 Phone: 615-525-3982
 Email: hassansk@yahoo.com",TENNESSEE,,,hassansk@yahoo.com,"mailto:hassansk@yahoo.com
"
"Memphis, TN","Memphis, TN
 Pastor: Nathaniel Kpurubu
 Address: 86 Lucy Avenue Memphis, Tennessee 38106
 Phone: 901-502-9936
 Email: deeperlifememphis@gmail.com",Memphis, TN,,deeperlifememphis@gmail.com,"mailto:deeperlifememphis@gmail.com
"
VIRGINIA,"VIRGINIA
 Alexandria, VA
 Pastor: Nsiah Kwabena
 Address: 8603 Engle Side Office Park, Alexandria, VA 22309
 Phone: Home: 703-459-6989; Cell: 571-484-1387
 Email: kknsiah@yahoo.com",VIRGINIA,,,kknsiah@yahoo.com,"mailto:kknsiah@yahoo.com
"
"Charlottesville, VA","Charlottesville, VA
 Pastor: Matthew Akanmu
 Address: 4656 Briarwood Dr. Charlottesville, VA 22911
 Phone: 434-973-2109; 434-242-5144
 Email: molufemi2001@yahoo.co.uk",Charlottesville, VA,,molufemi2001@yahoo.co.uk,"mailto:molufemi2001@yahoo.co.uk
"
"Dumfries, VA","Dumfries, VA
 Pastor: James Laari
 Address: (Hampton Hotel)
 16959 Old Stage Rd, Dumfries, VA 22025
 Phone: 571-594-7672; 703-659-1540
 Email: jimmylaari@yahoo.com",Dumfries, VA,,jimmylaari@yahoo.com,"mailto:jimmylaari@yahoo.com
"
"Richmond, VA","Richmond, VA
 Pastor: Adewale Egbonwon
 Address: 9960 Independence Park Drive., VA 23233
 Phone: 240-354-6830; 202-210-6981
 Email: adeegbon1@yahoo.com",Richmond, VA,,adeegbon1@yahoo.com,"mailto:adeegbon1@yahoo.com
"
"WASHINGTON, DC","WASHINGTON, DC
 Regional Headquarters
 Overseer: Michael A. Dada
 Pastor: Charles Udeochu
 Address: 4915 Sargent Road N.E., Washington DC, 20017
 Phone: 202-509-7771; 202-829-8145;
 Email: deeperlifedc@yahoo.com",WASHINGTON, DC,,deeperlifedc@yahoo.com,"mailto:deeperlifedc@yahoo.com
"
